Data,Y,VIX,VIX_lag_7,VIX_lag_14,GTITL2YR,GTITL2YR_lag_7,GTITL2YR_lag_14,GTITL10YR,GTITL10YR_lag_7,GTITL10YR_lag_14,GTITL30YR,GTITL30YR_lag_7,GTITL30YR_lag_14,MXJP,MXJP_lag_7,MXJP_lag_14,MXEU,MXEU_lag_7,MXEU_lag_14,LG30TRUU,LG30TRUU_lag_7,LG30TRUU_lag_14,MXUS,MXUS_lag_7,MXUS_lag_14,LF98TRUU,LF98TRUU_lag_7,LF98TRUU_lag_14,MXIN,MXIN_lag_7,MXIN_lag_14
2001-11-13,0,26.47,35.81,21.01,3.229,3.555,4.225,4.739,5.194,5.285,5.326,5.962,5.874,622.19,623.47,767.59,105.32,89.87,112.95,314.632,311.357,320.626,1077.78,962.44,1145.71,532.05,523.78,548.46,131.37,112.6,139.05
2001-11-20,0,24.12,31.18,20.48,3.491,3.49,4.118,4.882,5.057,5.217,5.453,5.788,5.814,652.77,656.39,750.16,105.94,93.97,110.33,315.15,306.797,322.563,1083.04,1000.15,1126.82,539.78,515.35,550.34,137.8,118.87,139.17
2001-11-27,0,24.0,34.83,24.4,3.675,3.448,4.067,5.029,5.053,5.199,5.565,5.806,5.821,666.44,639.55,726.43,104.88,96.67,107.8,317.969,305.483,321.264,1088.64,1003.02,1097.61,543.16,516.67,550.86,140.91,118.83,138.41
2001-12-04,0,24.08,32.88,22.0,3.446,3.429,4.069,4.856,4.987,5.175,5.34,5.679,5.786,640.43,662.3,726.88,104.68,98.7,108.21,319.823,310.806,325.72,1083.63,1042.5,1100.62,547.33,520.74,550.94,142.73,126.59,139.35
2001-12-11,0,25.3,32.0,25.85,3.65,3.402,4.074,5.092,4.957,5.25,5.519,5.66,5.875,635.06,674.47,695.1,105.54,101.79,106.57,320.189,311.644,326.927,1075.18,1031.35,1074.32,547.55,520.46,551.79,147.4,129.37,136.1
2001-12-18,0,23.29,33.46,31.84,3.598,3.181,4.013,5.081,4.739,5.102,5.512,5.439,5.789,626.37,651.19,671.72,104.3,97.77,93.25,318.412,311.15,326.057,1081.18,1004.58,1037.9,543.14,525.84,552.45,144.16,125.89,133.85
2001-12-25,0,22.62,28.8,38.87,3.625,3.136,3.633,5.132,4.676,5.193,5.573,5.311,5.997,630.29,654.95,632.32,105.16,102.7,92.28,316.898,311.895,317.488,1082.23,1058.2,980.1,543.55,528.22,552.45,140.16,130.96,117.69
2002-01-01,0,23.8,26.47,35.81,3.669,3.229,3.555,5.27,4.739,5.194,5.663,5.326,5.962,651.39,622.19,623.47,107.1,105.32,89.87,317.581,314.632,311.357,1084.54,1077.78,962.44,544.42,532.05,523.78,140.42,131.37,112.6
2002-01-08,0,21.83,24.12,31.18,3.628,3.491,3.49,5.109,4.882,5.057,5.542,5.453,5.788,654.31,652.77,656.39,106.08,105.94,93.97,322.002,315.15,306.797,1098.4,1083.04,1000.15,549.02,539.78,515.35,149.43,137.8,118.87
2002-01-15,0,22.7,24.0,34.83,3.896,3.675,3.448,5.054,5.029,5.053,5.467,5.565,5.806,622.09,666.44,639.55,104.22,104.88,96.67,322.007,317.969,305.483,1085.28,1088.64,1003.02,550.54,543.16,516.67,145.8,140.91,118.83
